tipo_imagem,filtro,tempo_exposicao,caminho_arquivo
XO-2b,B,25.0,data/xo2b.0126.fits
flat,B,5.0,data/flat.B.0004.fits
flat,B,5.0,data/flat.B.0009.fits
flat,B,5.0,data/flat.B.0010.fits
zero,B,0.0,data/bias.B.0008.fits
XO-2b,B,25.0,data/xo2b.0204.fits
XO-2b,B,25.0,data/xo2b.0068.fits
zero,B,0.0,data/bias.B.0006.fits
XO-2b,B,25.0,data/xo2b.0092.fits
XO-2b,B,25.0,data/xo2b.0158.fits
XO-2b,B,25.0,data/xo2b.0080.fits
XO-2b,B,25.0,data/xo2b.0212.fits
XO-2b,B,25.0,data/xo2b.0190.fits
XO-2b,B,25.0,data/xo2b.0124.fits
XO-2b,B,25.0,data/xo2b.0138.fits
XO-2b,B,25.0,data/xo2b.0006.fits
XO-2b,B,25.0,data/xo2b.0088.fits
XO-2b,B,25.0,data/xo2b.0130.fits
XO-2b,B,25.0,data/xo2b.0046.fits
XO-2b,B,25.0,data/xo2b.0070.fits
XO-2b,B,25.0,data/xo2b.0208.fits
XO-2b,B,25.0,data/xo2b.0100.fits
zero,B,0.0,data/bias.B.0001.fits
XO-2b,B,25.0,data/xo2b.0086.fits
XO-2b,B,25.0,data/xo2b.0050.fits
